id,name,address,city,phone,type
363,french roast cafe,2340 broadway,new york city,212-799-1533,"[""coffee bar""]"
364,frico bar,402 w. 43rd street,new york city,212-564-7272,"[""italian""]"
365,fujiyama mama,467 columbus avenue,new york city,212-769-1144,"[""asian""]"
366,gabriela's,685 amsterdam avenue,new york city,212-961-0574,"[""mexican""]"
367,gallagher's,228 w. 52nd street,new york city,212-245-5336,"[""american""]"
368,gianni's,15 fulton street,new york city,212-608-7300,"[""seafood""]"
369,girafe,208 e. 58th street,new york city,212-752-3054,"[""italian""]"
370,global,33 93 2nd avenue,new york city,212-477-8427,"[""american""]"
371,golden unicorn,18 e. broadway,new york city,212-941-0911,"[""asian""]"
372,grand ticino,228 thompson street,new york city,212-777-5922,"[""italian""]"
373,halcyon,151 w. 54th street,new york city,212-468-8888,"[""american""]"
374,hard rock cafe,221 w. 57th street,new york city,212-489-6565,"[""american""]"
375,hi-life restaurant and lounge,1340 1st avenue,new york city,212-249-3600,"[""american""]"
376,home,20 cornelia street,new york city,212-243-9579,"[""american""]"
377,hudson river club,4 world financial center,new york city,212-786-1500,"[""american""]"
378,i trulli,122 e. 27th street,new york city,212-481-7372,"[""italian""]"
379,il cortile,125 mulberry street,new york city,212-226-6060,"[""italian""]"
380,il nido,251 e. 53rd street,new york city,212-753-8450,"[""italian""]"
381,inca grill,492 broome street,new york city,212-966-3371,"[""latin american""]"
382,indochine,430 lafayette street,new york city,212-505-5111,"[""asian""]"
383,internet cafe,82 e. 3rd street,new york city,212-614-0747,"[""coffee bar""]"
384,ipanema,13 w. 46th street,new york city,212-730-5848,"[""latin american""]"
385,jean lafitte,68 w. 58th street,new york city,212-751-2323,"[""french""]"
386,jewel of india,15 w. 44th street,new york city,212-869-5544,"[""asian""]"
387,jimmy sung's,219 e. 44th street,new york city,212-682-5678,"[""asian""]"
388,joe allen,326 w. 46th street,new york city,212-581-6464,"[""american""]"
389,judson grill,152 w. 52nd street,new york city,212-582-5252,"[""american""]"
390,l'absinthe,227 e. 67th street,new york city,212-794-4950,"[""french""]"
391,l'auberge,1191 1st avenue,new york city,212-288-8791,"[""middle eastern""]"
392,l'auberge du midi,310 w. 4th street,new york city,212-242-4705,"[""french""]"
393,l'udo,432 lafayette street,new york city,212-388-0978,"[""french""]"
394,la reserve,4 w. 49th street,new york city,212-247-2993,"[""french""]"
395,lanza restaurant,168 1st avenue,new york city,212-674-7014,"[""italian""]"
396,lattanzi ristorante,361 w. 46th street,new york city,212-315-0980,"[""italian""]"
397,layla,211 w. broadway,new york city,212-431-0700,"[""middle eastern""]"
398,le chantilly,106 e. 57th street,new york city,212-751-2931,"[""french""]"
399,le colonial,149 e. 57th street,new york city,212-752-0808,"[""asian""]"
400,le gamin,50 macdougal street,new york city,212-254-4678,"[""coffee bar""]"
401,le jardin,25 cleveland place,new york city,212-343-9599,"[""french""]"
402,le madri,168 w. 18th street,new york city,212-727-8022,"[""italian""]"
403,le marais,150 w. 46th street,new york city,212-869-0900,"[""american""]"
404,le perigord,405 e. 52nd street,new york city,212-755-6244,"[""french""]"
405,le select,507 columbus avenue,new york city,212-875-1993,"[""american""]"
406,les halles,411 park avenue s,new york city,212-679-4111,"[""french""]"
407,lincoln tavern,51 w. 64th street,new york city,212-721-8271,"[""american""]"
408,lola,30 west 22nd street,new york city,212-675-6700,"[""american""]"
409,lucky strike,59 grand street,new york city,212-941-0479,"[""american""]"
410,mad fish,2182 broadway,new york city,212-787-0202,"[""seafood""]"
411,main street,446 columbus avenue,new york city,212-873-5025,"[""american""]"
412,mangia e bevi,800 9th avenue,new york city,212-956-3976,"[""italian""]"
413,manhattan cafe,1161 1st avenue,new york city,212-888-6556,"[""american""]"
414,manila garden,325 e. 14th street,new york city,212-777-6314,"[""asian""]"
415,marichu,342 e. 46th street,new york city,212-370-1866,"[""french""]"
416,marquet patisserie,15 e. 12th street,new york city,212-229-9313,"[""coffee bar""]"
417,match,160 mercer street,new york city,212-906-9173,"[""american""]"
418,matthew's,1030 3rd avenue,new york city,212-838-4343,"[""american""]"
419,mavalli palace,46 e. 29th street,new york city,212-679-5535,"[""asian""]"
420,milan cafe and coffee bar,120 w. 23rd street,new york city,212-807-1801,"[""coffee bar""]"
421,monkey bar,60 e. 54th street,new york city,212-838-2600,"[""american""]"
422,montien,1134 1st avenue,new york city,212-421-4433,"[""asian""]"
423,morton's,551 5th avenue,new york city,212-972-3315,"[""american""]"
424,motown cafe,104 w. 57th street,new york city,212-581-8030,"[""american""]"
425,new york kom tang soot bul house,32 w. 32nd street,new york city,212-947-8482,"[""asian""]"
426,new york noodletown,28 1/2 bowery,new york city,212-349-0923,"[""asian""]"
427,newsbar,2 w. 19th street,new york city,212-255-3996,"[""coffee bar""]"
428,odeon,145 w. broadway,new york city,212-233-0507,"[""american""]"
429,orso,322 w. 46th street,new york city,212-489-7212,"[""italian""]"
430,osteria al droge,142 w. 44th street,new york city,212-944-3643,"[""italian""]"
431,otabe,68 e. 56th street,new york city,212-223-7575,"[""asian""]"
432,pacifica,138 lafayette street,new york city,212-941-4168,"[""asian""]"
433,palio,151 w. 51st. street,new york city,212-245-4850,"[""italian""]"
434,pamir,1065 1st avenue,new york city,212-644-9258,"[""middle eastern""]"
435,parioli romanissimo,24 e. 81st street,new york city,212-288-2391,"[""italian""]"
436,patria,250 park avenue s,new york city,212-777-6211,"[""latin american""]"
437,peacock alley,301 park avenue,new york city,212-872-4895,"[""french""]"
438,pen & pencil,205 e. 45th street,new york city,212-682-8660,"[""american""]"
439,penang soho,109 spring street,new york city,212-274-8883,"[""asian""]"
440,persepolis,1423 2nd avenue,new york city,212-535-1100,"[""middle eastern""]"
441,planet hollywood,140 w. 57th street,new york city,212-333-7827,"[""american""]"
442,pomaire,371 w. 46th street,new york city,212-956-3055,"[""latin american""]"
443,popover cafe,551 amsterdam avenue,new york city,212-595-8555,"[""american""]"
444,post house,28 e. 63rd street,new york city,212-935-2888,"[""american""]"
445,rain,100 w. 82nd street,new york city,212-501-0776,"[""asian""]"
446,red tulip,439 e. 75th street,new york city,212-734-4893,"[""eastern european""]"
447,remi,145 w. 53rd street,new york city,212-581-4242,"[""italian""]"
448,republic,37a union square w,new york city,212-627-7172,"[""asian""]"
449,roettelle a. g,126 e. 7th street,new york city,212-674-4140,"[""continental""]"
450,rosa mexicano,1063 1st avenue,new york city,212-753-7407,"[""mexican""]"
451,ruth's chris,148 w. 51st street,new york city,212-245-9600,"[""american""]"
452,s.p.q.r,133 mulberry street,new york city,212-925-3120,"[""italian""]"
453,sal anthony's,55 irving place,new york city,212-982-9030,"[""italian""]"
454,sammy's roumanian steak house,157 chrystie street,new york city,212-673-0330,"[""east european""]"
455,san pietro,18 e. 54th street,new york city,212-753-9015,"[""italian""]"
456,sant ambroeus,1000 madison avenue,new york city,212-570-2211,"[""coffee bar""]"
457,sarabeth's kitchen,423 amsterdam avenue,new york city,212-496-6280,"[""american""]"
458,sea grill,19 w. 49th street,new york city,212-332-7610,"[""seafood""]"
459,serendipity,3 225 e. 60th street,new york city,212-838-3531,"[""american""]"
460,seventh regiment mess and bar,643 park avenue,new york city,212-744-4107,"[""american""]"
461,sfuzzi,58 w. 65th street,new york city,212-873-3700,"[""american""]"
462,shaan,57 w. 48th street,new york city,212-977-8400,"[""asian""]"
463,sofia fabulous pizza,1022 madison avenue,new york city,212-734-2676,"[""italian""]"
464,spring street natural restaurant & bar,62 spring street,new york city,212-966-0290,"[""american""]"
465,stage deli,834 7th avenue,new york city,212-245-7850,"[""delicatessen""]"
466,stingray,428 amsterdam avenue,new york city,212-501-7515,"[""seafood""]"
467,sweet'n'tart cafe,76 mott street,new york city,212-334-8088,"[""asian""]"
468,t salon,143 mercer street,new york city,212-925-3700,"[""coffee bar""]"
469,tang pavillion,65 w. 55th street,new york city,212-956-6888,"[""asian""]"
470,tapika,950 8th avenue,new york city,212-397-3737,"[""american""]"
471,teresa's,103 1st avenue,new york city,212-228-0604,"[""east european""]"
472,terrace,400 w. 119th street,new york city,212-666-9490,"[""continental""]"
473,the coffee pot,350 9th avenue,new york city,212-265-3566,"[""coffee bar""]"
474,the savannah club,2420 broadway,new york city,212-496-1066,"[""american""]"
475,trattoria dell'arte,900 7th avenue,new york city,212-245-9800,"[""italian""]"
476,triangolo,345 e. 83rd street,new york city,212-472-4488,"[""italian""]"
477,tribeca grill,375 greenwich street,new york city,212-941-3900,"[""american""]"
478,trois jean,154 e. 79th street,new york city,212-988-4858,"[""coffee bar""]"
479,tse yang,34 e. 51st street,new york city,212-688-5447,"[""asian""]"
480,turkish kitchen,386 3rd avenue,new york city,212-679-1810,"[""middle eastern""]"
481,two two two,222 w. 79th street,new york city,212-799-0400,"[""american""]"
482,veniero's pasticceria,342 e. 11th street,new york city,212-674-7264,"[""coffee bar""]"
483,verbena,54 irving place,new york city,212-260-5454,"[""american""]"
484,victor's cafe,52 236 w. 52nd street,new york city,212-586-7714,"[""latin american""]"
485,vince & eddie's,70 w. 68th street,new york city,212-721-0068,"[""american""]"
486,vong,200 e. 54th street,new york city,212-486-9592,"[""american""]"
487,water club,500 e. 30th street,new york city,212-683-3333,"[""american""]"
488,west,63rd street steakhouse 44 w. 63rd street,new york city,212-246-6363,"[""american""]"
489,xunta,174 1st avenue,new york city,212-614-0620,"[""mediterranean""]"
490,zen palate,34 union square e,new york city,212-614-9291,"[""asian""]"
491,zoe,90 prince street,new york city,212-966-6722,"[""american""]"
492,abbey,163 ponce de leon avenue,atlanta,404-876-8532,"[""international""]"
493,aleck's barbecue heaven,783 martin luther king jr. drive,atlanta,404-525-2062,"[""barbecue""]"
494,annie's thai castle,3195 roswell road,atlanta,404-264-9546,"[""asian""]"
495,anthonys,3109 piedmont road,atlanta,404-262-7379,"[""american""]"
496,atlanta fish market,265 pharr road,atlanta,404-262-3165,"[""american""]"
497,beesley's of buckhead,260 e. paces ferry road,atlanta,404-264-1334,"[""continental""]"
498,bertolini's,3500 peachtree road,atlanta,404-233-2333,"[""italian""]"
499,bistango,1100 peachtree street,atlanta,404-724-0901,"[""mediterranean""]"
500,cafe renaissance,7050 jimmy carter boulevard,atlanta,770-441-0291,"[""american""]"
501,camille's,1186 n. highland avenue,atlanta,404-872-7203,"[""italian""]"
502,cassis,3300 peachtree road,atlanta,404-365-8100,"[""mediterranean""]"
503,city grill,50 hurt plaza,atlanta,404-524-2489,"[""international""]"
504,coco loco,40,atlanta,404-364-0212,"[""caribbean""]"
505,colonnade restaurant,1879 cheshire bridge road,atlanta,404-874-5642,"[""southern""]"
506,dante's down the hatch  buckhead,3380 peachtree road,atlanta,404-266-1600,"[""continental""]"
507,dante's down the hatch,underground underground mall,atlanta,404-577-1800,"[""continental""]"
508,fat matt's rib shack,1811 piedmont avenue,atlanta,404-607-1622,"[""barbecue""]"
509,french quarter food shop,923 peachtree street,atlanta,404-875-2489,"[""southern""]"
510,holt bros. bar-b-q,6359 jimmy carter boulevard,atlanta,770-242-3984,"[""barbecue""]"
511,horseradish grill,4320 powers ferry road,atlanta,404-255-7277,"[""southern""]"
512,hsu's gourmet,192 peachtree center avenue,atlanta,404-659-2788,"[""asian""]"
513,imperial fez,2285 peachtree road,atlanta,404-351-0870,"[""mediterranean""]"
514,kamogawa,3300 peachtree road,atlanta,404-841-0314,"[""asian""]"
515,la grotta at ravinia dunwoody rd.,holiday inn/crowne plaza,atlanta,770-395-9925,"[""italian""]"
516,little szechuan,c buford highway,atlanta,770-451-0192,"[""asian""]"
517,lowcountry barbecue,6301 roswell road,atlanta,404-255-5160,"[""barbecue""]"
518,luna si,1931 peachtree road,atlanta,404-355-5993,"[""continental""]"
519,mambo restaurante cubano,1402 n. highland avenue,atlanta,404-874-2626,"[""caribbean""]"
520,mckinnon's louisiane,3209 maple drive,atlanta,404-237-1313,"[""southern""]"
521,mi spia dunwoody rd.,park place,atlanta,770-393-1333,"[""italian""]"
522,nickiemoto's: a sushi bar,247 buckhead avenue,atlanta,404-842-0334,"[""fusion""]"
523,palisades,1829 peachtree road,atlanta,404-350-6755,"[""continental""]"
524,pleasant peasant,555 peachtree street,atlanta,404-874-3223,"[""american""]"
525,pricci,500 pharr road,atlanta,404-237-2941,"[""italian""]"
526,r.j.'s uptown kitchen & wine bar,870 n. highland avenue,atlanta,404-875-7775,"[""american""]"
527,rib ranch,25 irby avenue,atlanta,404-233-7644,"[""barbecue""]"
528,sa tsu ki,3043 buford highway,atlanta,404-325-5285,"[""asian""]"
529,sato sushi and thai,6050 peachtree parkway,atlanta,770-449-0033,"[""asian""]"
530,south city kitchen,1144 crescent avenue,atlanta,404-873-7358,"[""southern""]"
531,south of france,2345 cheshire bridge road,atlanta,404-325-6963,"[""french""]"
532,stringer's fish camp and oyster bar,3384 shallowford road,atlanta,770-458-7145,"[""southern""]"
533,sundown cafe,2165 cheshire bridge road,atlanta,404-321-1118,"[""american""]"
534,taste of new orleans,889 w. peachtree street,atlanta,404-874-5535,"[""southern""]"
535,tomtom,3393 peachtree road,atlanta,404-264-1163,"[""continental""]"
536,antonio's,3700 w. flamingo,las vegas,702-252-7737,"[""italian""]"
537,bally's big kitchen,3645 las vegas boulevard s,las vegas,702-739-4111,"[""buffets""]"
538,bamboo garden,4850 flamingo road,las vegas,702-871-3262,"[""asian""]"
539,battista's hole in the wall,4041 audrie street,las vegas,702-732-1424,"[""italian""]"
540,bertolini's,3570 las vegas boulevard s,las vegas,702-735-4663,"[""italian""]"
541,binion's coffee shop,128 fremont street,las vegas,702-382-1600,"[""coffee shops"",""diners""]"
542,bistro,3400 las vegas boulevard s,las vegas,702-791-7111,"[""continental""]"
543,broiler,4111 boulder highway,las vegas,702-432-7777,"[""american""]"
544,bugsy's diner,3555 las vegas boulevard s,las vegas,702-733-3111,"[""coffee shops"",""diners""]"
545,cafe michelle,1350 e. flamingo road,las vegas,702-735-8686,"[""american""]"
546,cafe roma,3570 las vegas boulevard s,las vegas,702-731-7547,"[""coffee shops"",""diners""]"
547,capozzoli's,3333 s. maryland parkway,las vegas,702-731-5311,"[""italian""]"
548,carnival world,3700 w. flamingo road,las vegas,702-252-7777,"[""buffets""]"
549,center stage plaza hotel,1 main street,las vegas,702-386-2512,"[""american""]"
550,circus circus,2880 las vegas boulevard s,las vegas,702-734-0410,"[""buffets""]"
551,empress court,3570 las vegas boulevard s,las vegas,702-731-7888,"[""asian""]"
552,feast,2411 w. sahara avenue,las vegas,702-367-2411,"[""buffets""]"
553,golden nugget hotel,129 e. fremont street,las vegas,702-385-7111,"[""buffets""]"
554,golden steer,308 w. sahara avenue,las vegas,702-384-4470,"[""steak houses""]"
555,lillie langtry's,129 e. fremont street,las vegas,702-385-7111,"[""asian""]"
556,mandarin court,1510 e. flamingo road,las vegas,702-737-1234,"[""asian""]"
557,margarita's mexican cantina,3120 las vegas boulevard s,las vegas,702-794-8200,"[""mexican""]"
558,mary's diner,5111 w. boulder highway,las vegas,702-454-8073,"[""coffee shops"",""diners""]"
559,mikado,3400 las vegas boulevard s,las vegas,702-791-7111,"[""asian""]"
560,pamplemousse,400 e. sahara avenue,las vegas,702-733-2066,"[""continental""]"
561,ralph's diner,3000 las vegas boulevard s,las vegas,702-732-6330,"[""coffee shops"",""diners""]"
562,the bacchanal,3570 las vegas boulevard s,las vegas,702-731-7525,"[""only in las vegas""]"
563,venetian,3713 w. sahara avenue,las vegas,702-876-4190,"[""italian""]"
564,viva mercado's,6182 w. flamingo road,las vegas,702-871-8826,"[""mexican""]"
565,yolie's,3900 paradise road,las vegas,702-794-0700,"[""steak houses""]"
566,2223,2223 market street,san francisco,415-431-0692,"[""american""]"
567,acquarello,1722 sacramento street,san francisco,415-567-5432,"[""italian""]"
568,bardelli's,243 o'farrell street,san francisco,415-982-0243,"[""old san francisco""]"
569,betelnut,2030 union street,san francisco,415-929-8855,"[""asian""]"
570,bistro roti,155 steuart street,san francisco,415-495-6500,"[""french""]"
571,bix,56 gold street,san francisco,415-433-6300,"[""american""]"
572,bizou,598 fourth street,san francisco,415-543-2222,"[""french""]"
573,buca giovanni,800 greenwich street,san francisco,415-776-7766,"[""italian""]"
574,cafe adriano,3347 fillmore street,san francisco,415-474-4180,"[""italian""]"
575,cafe marimba,2317 chestnut street,san francisco,415-776-1506,"[""mexican"",""latin american"",""spanish""]"
576,california culinary academy,625 polk street,san francisco,415-771-3500,"[""french""]"
577,capp's corner,1600 powell street,san francisco,415-989-2589,"[""italian""]"
578,carta,1772 market street,san francisco,415-863-3516,"[""american""]"
579,chevys,4th and howard streets,san francisco,415-543-8060,"[""mexican"",""latin american"",""spanish""]"
580,cypress club,500 jackson street,san francisco,415-296-8555,"[""american""]"
581,des alpes,732 broadway,san francisco,415-788-9900,"[""french""]"
582,faz,161 sutter street,san francisco,415-362-0404,"[""greek"",""middle eastern""]"
583,fog city diner,1300 battery street,san francisco,415-982-2000,"[""american""]"
584,garden court,market and new montgomery streets,san francisco,415-546-5011,"[""old san francisco""]"
585,gaylord's,ghirardelli square,san francisco,415-771-8822,"[""asian""]"
586,grand cafe hotel monaco,501 geary street,san francisco,415-292-0101,"[""american""]"
587,greens,bldg. a fort mason,san francisco,415-771-6222,"[""vegetarian""]"
588,harbor village,4 embarcadero center,san francisco,415-781-8833,"[""asian""]"
589,harris',2100 van ness avenue,san francisco,415-673-1888,"[""steak houses""]"
590,harry denton's,161 steuart street,san francisco,415-882-1333,"[""american""]"
591,hayes street grill,320 hayes street,san francisco,415-863-5545,"[""seafood""]"
592,helmand,430 broadway,san francisco,415-362-0641,"[""greek"",""middle eastern""]"
593,hong kong flower lounge,5322 geary boulevard,san francisco,415-668-8998,"[""asian""]"
594,hong kong villa,2332 clement street,san francisco,415-752-8833,"[""asian""]"
595,hyde street bistro,1521 hyde street,san francisco,415-441-7778,"[""italian""]"
596,il fornaio levi's plaza,1265 battery street,san francisco,415-986-0100,"[""italian""]"
597,izzy's steak & chop house,3345 steiner street,san francisco,415-563-0487,"[""steak houses""]"
598,jack's,615 sacramento street,san francisco,415-986-9854,"[""old san francisco""]"
599,kabuto sushi,5116 geary boulevard,san francisco,415-752-5652,"[""asian""]"
600,katia's,600 5th avenue,san francisco,415-668-9292,"[""""]"
601,kuleto's,221 powell street,san francisco,415-397-7720,"[""italian""]"
602,kyo-ya. sheraton palace hotel,2 new montgomery street,san francisco,415-546-5000,"[""asian""]"
603,l'osteria del forno,519 columbus avenue,san francisco,415-982-1124,"[""italian""]"
604,le central,453 bush street,san francisco,415-391-2233,"[""french""]"
605,le soleil,133 clement street,san francisco,415-668-4848,"[""asian""]"
606,macarthur park,607 front street,san francisco,415-398-5700,"[""american""]"
607,manora,3226 mission street,san francisco,415-861-6224,"[""asian""]"
608,maykadeh,470 green street,san francisco,415-362-8286,"[""greek"",""middle eastern""]"
609,mccormick & kuleto's,ghirardelli square,san francisco,415-929-1730,"[""seafood""]"
610,millennium,246 mcallister street,san francisco,415-487-9800,"[""vegetarian""]"
611,moose's,1652 stockton street,san francisco,415-989-7800,"[""mediterranean""]"
612,north india,3131 webster street,san francisco,415-931-1556,"[""asian""]"
613,one market,1 market street,san francisco,415-777-5577,"[""american""]"
614,oritalia,1915 fillmore street,san francisco,415-346-1333,"[""italian""]"
615,pacific pan pacific hotel,500 post street,san francisco,415-929-2087,"[""french""]"
616,palio d'asti,640 sacramento street,san francisco,415-395-9800,"[""italian""]"
617,pane e vino,3011 steiner street,san francisco,415-346-2111,"[""italian""]"
618,pastis,1015 battery street,san francisco,415-391-2555,"[""french""]"
619,perry's,1944 union street,san francisco,415-922-9022,"[""american""]"
620,r&g lounge,631 b kearny street,san francisco,415-982-7877,"[""asian""]"
621,rubicon,558 sacramento street,san francisco,415-434-4100,"[""american""]"
622,rumpus,1 tillman place,san francisco,415-421-2300,"[""american""]"
623,sanppo,1702 post street,san francisco,415-346-3486,"[""asian""]"
624,scala's bistro,432 powell street,san francisco,415-395-8555,"[""italian""]"
625,south park cafe,108 south park,san francisco,415-495-7275,"[""french""]"
626,splendido embarcadero,4,san francisco,415-986-3222,"[""mediterranean""]"
627,stars,150 redwood alley,san francisco,415-861-7827,"[""american""]"
628,stars cafe,500 van ness avenue,san francisco,415-861-4344,"[""american""]"
629,stoyanof's cafe,1240 9th avenue,san francisco,415-664-3664,"[""greek"",""middle eastern""]"
630,straits cafe,3300 geary boulevard,san francisco,415-668-1783,"[""asian""]"
631,suppenkuche,601 hayes street,san francisco,415-252-9289,"[""russian"",""german""]"
632,tadich grill,240 california street,san francisco,415-391-2373,"[""seafood""]"
633,the heights,3235 sacramento street,san francisco,415-474-8890,"[""french""]"
634,thepin,298 gough street,san francisco,415-863-9335,"[""asian""]"
635,ton kiang,3148 geary boulevard,san francisco,415-752-4440,"[""asian""]"
636,vertigo,600 montgomery street,san francisco,415-433-7250,"[""mediterranean""]"
637,vivande porta via,2125 fillmore street,san francisco,415-346-4430,"[""italian""]"
638,vivande ristorante,670 golden gate avenue,san francisco,415-673-9245,"[""italian""]"
639,world wrapps,2257 chestnut street,san francisco,415-563-9727,"[""american""]"
640,wu kong,101 spear street,san francisco,415-957-9300,"[""asian""]"
641,yank sing,427 battery street,san francisco,415-541-4949,"[""asian""]"
642,yaya cuisine,1220 9th avenue,san francisco,415-566-6966,"[""greek"",""middle eastern""]"
643,yoyo tsumami bistro,1611 post street,san francisco,415-922-7788,"[""french""]"
644,zarzuela,2000 hyde street,san francisco,415-346-0800,"[""mexican"",""latin american"",""spanish""]"
645,zuni cafe & grill,1658 market street,san francisco,415-552-2522,"[""mediterranean""]"
646,apple pan  the,10801 w. pico boulevard,los angeles,310-475-3585,"[""american""]"
647,asahi ramen,2027 sawtelle boulevard,los angeles,310-479-2231,"[""noodle shops""]"
648,baja fresh,3345 kimber drive,westlake village,805-498-4049,"[""mexican""]"
649,belvedere  the,9882 little santa monica boulevard,beverly hills,310-788-2306,"[""pacific new wave""]"
650,benita's frites,1433 third street promenade,santa monica,310-458-2889,"[""fast food""]"
651,bernard's,515 s. olive street,los angeles,213-612-1580,"[""continental""]"
652,bistro 45,45 s. mentor avenue,pasadena,818-795-2478,"[""californian""]"
653,brent's deli,19565 parthenia avenue,los angeles,818-886-5679,"[""delis""]"
654,brighton coffee shop,9600 brighton way,beverly hills,310-276-7732,"[""coffee shops""]"
655,bristol farms market cafe,1570 rosecrans avenue s.,pasadena,310-643-5229,"[""californian""]"
656,bruno's,3838 centinela avenue,los angeles,310-397-5703,"[""italian""]"
657,cafe '50s,838 lincoln boulevard,los angeles,310-399-1955,"[""american""]"
658,cafe blanc,9777 little santa monica boulevard,beverly hills,310-888-0108,"[""pacific new wave""]"
659,cassell's,3266 w. sixth street,los angeles,213-480-8668,"[""hamburgers""]"
660,chez melange,1716 pacific coast highway,redondo beach,310-540-1222,"[""eclectic""]"
661,diaghilev,1020 n. san vicente boulevard,west hollywood,310-854-1111,"[""russian""]"
662,don antonio's,1136 westwood boulevard,los angeles,310-209-1422,"[""italian""]"
663,duke's,8909 sunset boulevard,west hollywood,310-652-3100,"[""coffee shops""]"
664,falafel king,1059 broxton avenue,los angeles,310-208-4444,"[""middle eastern""]"
665,feast from the east,1949 westwood boulevard,los angeles,310-475-0400,"[""chinese""]"
666,gumbo pot  the,6333 w. third street,los angeles,213-933-0358,"[""cajun"",""creole""]"
667,hollywood hills coffee shop,6145 franklin avenue,los angeles,213-467-7678,"[""coffee shops""]"
668,indo cafe,10428 1/2 national boulevard,los angeles,310-815-1290,"[""indonesian""]"
669,jan's family restaurant,8424 beverly boulevard,los angeles,213-651-2866,"[""coffee shops""]"
670,jiraffe,502 santa monica boulevard,santa monica,310-917-6671,"[""californian""]"
671,jody maroni's sausage kingdom,2011 ocean front walk,los angeles,310-306-1995,"[""hot dogs""]"
672,joe's,1023 abbot kinney boulevard,los angeles,310-399-5811,"[""american (new)""]"
673,john o'groats,10516 w. pico boulevard,los angeles,310-204-0692,"[""coffee shops""]"
674,johnnie's pastrami,4017 s. sepulveda boulevard,culver city,310-397-6654,"[""delis""]"
675,johnny reb's southern smokehouse,4663 long beach boulevard,long beach,310-423-7327,"[""southern"",""soul""]"
676,johnny rockets (la),7507 melrose avenue,los angeles,213-651-3361,"[""american""]"
677,killer shrimp,4000 colfax avenue,los angeles,818-508-1570,"[""seafood""]"
678,kokomo cafe,6333 w. third street,los angeles,213-933-0773,"[""american""]"
679,koo koo roo,8393 w. beverly boulevard,los angeles,213-655-9045,"[""chicken""]"
680,la cachette,10506 little santa monica boulevard,los angeles,310-470-4992,"[""french (new)""]"
681,la salsa (la),22800 pacific coast highway,malibu,310-456-6299,"[""mexican""]"
682,la serenata de garibaldi,1842 e. first,los angeles,213-265-2887,"[""mexican"",""tex-mex""]"
683,langer's,704 s. alvarado street,los angeles,213-483-8050,"[""delis""]"
684,local nochol,30869 thousand oaks boulevard,westlake village,818-706-7706,"[""health food""]"
685,main course  the,10509 w. pico boulevard,los angeles,310-475-7564,"[""american""]"
686,mani's bakery & espresso bar,519 s. fairfax avenue,los angeles,213-938-8800,"[""desserts""]"
687,martha's,22nd street grill 25 22nd,st. hermosa beach,310-376-7786,"[""american""]"
688,maxwell's cafe,13329 washington boulevard,marina del rey,310-306-7829,"[""american""]"
689,michael's (los angeles),1147 third street,santa monica,310-451-0843,"[""californian""]"
690,mishima,8474 w. third street,los angeles,213-782-0181,"[""noodle shops""]"
691,mo better meatty meat,7261 melrose avenue,los angeles,213-935-5280,"[""hamburgers""]"
692,mulberry st.,17040 ventura boulevard,los angeles,818-906-8881,"[""pizza""]"
693,ocean park cafe,3117 ocean park boulevard,santa monica,310-452-5728,"[""american""]"
694,ocean star,145 n. atlantic boulevard,monterey park,818-308-2128,"[""seafood""]"
695,original pantry bakery,875 s. figueroa street downtown,los angeles,213-627-6879,"[""diners""]"
696,parkway grill,510 s. arroyo parkway,pasadena,818-795-1001,"[""californian""]"
697,pho hoa,642 broadway,los angeles,213-626-5530,"[""vietnamese""]"
698,pink's famous chili dogs,709 n. la brea avenue,los angeles,213-931-4223,"[""hot dogs""]"
699,poquito mas,2635 w. olive avenue,burbank,818-563-2252,"[""mexican""]"
700,r-23,923 e. third street,los angeles,213-687-7178,"[""japanese""]"
701,rae's,2901 pico boulevard,santa monica,310-828-7937,"[""diners""]"
702,rubin's red hots,15322 ventura boulevard,los angeles,818-905-6515,"[""hot dogs""]"
703,ruby's (la),45 s. fair oaks avenue,pasadena,818-796-7829,"[""diners""]"
704,russell's burgers,1198 pacific coast highway,seal beach,310-596-9556,"[""hamburgers""]"
705,ruth's chris steak house (los angeles),224 s. beverly drive,beverly hills,310-859-8744,"[""steakhouses""]"
706,shiro,1505 mission street s.,pasadena,818-799-4774,"[""pacific new wave""]"
707,sushi nozawa,11288 ventura boulevard,los angeles,818-508-7017,"[""japanese""]"
708,sweet lady jane,8360 melrose avenue,los angeles,213-653-7145,"[""desserts""]"
709,taiko,11677 san vicente boulevard,los angeles,310-207-7782,"[""noodle shops""]"
710,tommy's,2575 beverly boulevard,los angeles,213-389-9060,"[""hamburgers""]"
711,uncle bill's pancake house,1305 highland avenue,manhattan beach,310-545-5177,"[""diners""]"
712,water grill,544 s. grand avenue,los angeles,213-891-0900,"[""seafood""]"
713,zankou chicken,1415 e. colorado street,glendale,818-244-1937,"[""middle eastern""]"
714,afghan kebab house,764 ninth avenue,new york city,212-307-1612,"[""afghan""]"
715,arcadia,21 e. 62nd street,new york city,212-223-2900,"[""american (new)""]"
716,benny's burritos,93 avenue a,new york city,212-254-2054,"[""mexican""]"
717,cafe con leche,424 amsterdam avenue,new york city,212-595-7000,"[""cuban""]"
718,corner bistro,331 w. fourth street,new york city,212-242-9502,"[""hamburgers""]"
719,cucina della fontana,368 bleecker street,new york city,212-242-0636,"[""italian""]"
